1
0.985
draft,vol,Mass,lcg,tcg,vcg,FSM
1.4808954399999998,0.0033946351793551115,0.0033946351793551115,34.79999136000001,0,1.48039544000013,0
1.58089544,0.34285815311496176,0.34285815311496176,34.79999136000001,0,1.5303954400000013,0
1.68089544,0.6823216710505685,0.6823216710505685,34.79999136000001,0,1.5803954400000007,0
1.78089544,1.0217851889861742,1.0217851889861742,34.79999136,0,1.6303954400000003,0
1.8808954400000002,1.361248706921781,1.361248706921781,34.79999136,0,1.6803954400000007,0
1.9808954400000003,1.7007122248573876,1.7007122248573876,34.79999136,0,1.7303954400000006,0
2.0808954400000004,2.0401757427929943,2.0401757427929943,34.79999136000001,0,1.7803954400000006,0
2.1808954400000005,2.3796392607286014,2.3796392607286014,34.79999136,0,1.83039544,0
2.2808954400000006,2.7191027786642072,2.7191027786642072,34.79999136,0,1.88039544,0
2.3808954400000006,3.058566296599813,3.058566296599813,34.79999136000001,0,1.9303954400000003,0
2.4808954400000007,3.3980298145354206,3.3980298145354206,34.79999136,0,1.98039544,0
2.580895440000001,3.7374933324710264,3.7374933324710264,34.79999136,0,2.0303954400000004,0
2.680895440000001,4.076956850406634,4.076956850406634,34.79999136,0,2.08039544,0
2.780895440000001,4.41642036834224,4.41642036834224,34.79999136,0,2.13039544,0
2.880895440000001,4.755883886277845,4.755883886277845,34.79999136,0,2.1803954400000016,0.006070000000007412
2.980895440000001,5.09534740421345,5.09534740421345,34.799991360000014,0,2.230395440000002,0.607
3.0808954400000013,5.434810922149058,5.434810922149058,34.79999136,0,2.280395440000001,0.607
3.1808954400000014,5.774274440084664,5.774274440084664,34.79999136,0,2.330395440000001,0.607
3.2808954400000014,6.1137379580202715,6.1137379580202715,34.79999136,0,2.3803954400000014,0.607
3.3808954400000015,6.4532014759558765,6.4532014759558765,34.79999136,0,2.430395440000001,0.607
3.4808954400000016,6.792664993891482,6.792664993891482,34.79999136,0,2.4803954400000015,0.607
3.5808954400000017,7.132128511827091,7.132128511827091,34.79999136000001,0,2.5303954400000004,0.607
3.680895440000002,7.4715920297626965,7.4715920297626965,34.79999136,0,2.580395440000002,0.607
3.780895440000002,7.811055547698303,7.811055547698303,34.79999136000001,0,2.630395440000002,0.607
3.880895440000002,8.15051906563391,8.15051906563391,34.79999136000001,0,2.680395440000001,0.607
3.980895440000002,8.489982583569516,8.489982583569516,34.79999136000001,0,2.7303954400000015,0.607
4.080895440000002,8.82944610150512,8.82944610150512,34.79999136,0,2.7803954400000017,0.607
4.180895440000001,9.168909619440727,9.168909619440727,34.79999135999999,0,2.8303954400000007,0.607
4.280895440000001,9.50837313737633,9.50837313737633,34.79999136,0,2.880395440000001,0.607
4.380895440000001,9.847836655311937,9.847836655311937,34.79999136,0,2.9303954400000003,0.607
4.48089544,10.187300173247541,10.187300173247541,34.79999136000001,0,2.9803954400000006,0.607
4.58089544,10.526763691183143,10.526763691183143,34.79999136000001,0,3.03039544,0.607
4.68089544,10.866227209118751,10.866227209118751,34.79999136,0,3.08039544,0.607
4.780895439999999,11.205690727054355,11.205690727054355,34.79999136000001,0,3.130395440000001,0.607
4.880895439999999,11.545154244989961,11.545154244989961,34.79999136,0,3.18039544,0.607
4.9808954399999985,11.884617762925565,11.884617762925565,34.79999136,0,3.2303954399999992,0.607
5.080895439999998,12.22408128086117,12.22408128086117,34.79999136000001,0,3.2803954399999995,0.607
5.180895439999998,12.563544798796775,12.563544798796775,34.79999136,0,3.3303954399999984,0.607
5.280895439999997,12.90300831673238,12.90300831673238,34.79999136,0,3.3803954399999987,0.607
5.380895439999997,13.242471834667986,13.242471834667986,34.79999136000001,0,3.4303954399999985,0.607
5.480895439999997,13.581935352603592,13.581935352603592,34.79999136,0,3.4803954399999983,0.607
5.580895439999996,13.921398870539196,13.921398870539196,34.79999136,0,3.530395439999999,0.607
5.680895439999996,14.2608623884748,14.2608623884748,34.79999136000001,0,3.5803954399999984,0.607
5.780895439999996,14.600325906410404,14.600325906410404,34.79999136000001,0,3.6303954399999987,0.607
5.880895439999995,14.939789424346012,14.939789424346012,34.79999136,0,3.6803954399999976,0.607
5.980895439999995,15.279252942281616,15.279252942281616,34.79999136,0,3.7303954399999983,0.607
6.080895439999995,15.618716460217218,15.618716460217218,34.79999136000001,0,3.7803954399999977,0.607
6.180895439999994,15.958179978152828,15.958179978152828,34.79999136,0,3.8303954399999967,0.607
6.280895439999994,16.297643496088433,16.297643496088433,34.79999136,0,3.880395439999997,0.607
6.3808954399999935,16.637107014024036,16.637107014024036,34.79999136,0,3.9303954399999967,0.607
6.480895439999993,16.976570531959645,16.976570531959645,34.79999136,0,3.9803954399999952,0.607
6.580895439999993,17.316034049895247,17.316034049895247,34.79999136000001,0,4.030395439999997,0.607
6.6808954399999925,17.65549756783085,17.65549756783085,34.79999136000001,0,4.080395439999997,0.607
6.780895439999992,17.99496108576646,17.99496108576646,34.79999136,0,4.130395439999996,0.607
6.880895439999992,18.334424603702065,18.334424603702065,34.79999136,0,4.180395439999995,0.607
6.980895439999991,18.673888121637663,18.673888121637663,34.79999136,0,4.230395439999996,0.607
7.080895439999991,19.013351639573276,19.013351639573276,34.79999136,0,4.280395439999995,0.607
7.180895439999991,19.35281515750888,19.35281515750888,34.79999136000001,0,4.330395439999994,0.607
7.28089543999999,19.692278675444484,19.692278675444484,34.79999136,0,4.380395439999996,0.607
7.38089543999999,20.03174219338009,20.03174219338009,34.79999136,0,4.4303954399999945,0.607
7.48089543999999,20.371205711315692,20.371205711315692,34.79999136,0,4.480395439999995,0.607
7.580895439999989,20.710669229251298,20.710669229251298,34.799991360000014,0,4.530395439999994,0.607
7.680895439999989,21.050132747186904,21.050132747186904,34.79999136000001,0,4.580395439999994,0.607
7.780895439999989,21.38959626512251,21.38959626512251,34.79999136000001,0,4.630395439999994,0.607
7.880895439999988,21.729059783058112,21.729059783058112,34.79999136000001,0,4.6803954399999945,0.607
7.980895439999988,22.068523300993718,22.068523300993718,34.79999136000001,0,4.7303954399999935,0.607
8.080895439999988,22.407986818929327,22.407986818929327,34.79999136000001,0,4.780395439999994,0.607
8.180895439999988,22.747450336864933,22.747450336864933,34.79999136,0,4.830395439999993,0.607
8.280895439999988,23.08691385480053,23.08691385480053,34.79999136000001,0,4.880395439999994,0.607
8.380895439999987,23.42637737273614,23.42637737273614,34.79999136000001,0,4.9303954399999945,0.607
8.480895439999987,23.765840890671747,23.765840890671747,34.79999136,0,4.9803954399999935,0.607
8.580895439999987,24.105304408607353,24.105304408607353,34.79999136,0,5.030395439999993,0.607
8.680895439999986,24.444767926542955,24.444767926542955,34.79999136,0,5.080395439999994,0.607
8.780895439999986,24.78423144447856,24.78423144447856,34.79999136,0,5.130395439999993,0.607
8.880895439999986,25.123694962414167,25.123694962414167,34.79999136,0,5.180395439999993,0.607
8.980895439999985,25.463158480349772,25.463158480349772,34.79999136000001,0,5.230395439999991,0.607
9.080895439999985,25.802621998285375,25.802621998285375,34.79999136000001,0,5.280395439999993,0.607
9.180895439999984,26.14208551622098,26.14208551622098,34.79999136,0,5.330395439999991,0.607
9.280895439999984,26.481549034156586,26.481549034156586,34.79999136,0,5.38039543999999,0.607
9.380895439999984,26.82101255209219,26.82101255209219,34.79999136000001,0,5.430395439999992,0.607
9.480895439999983,27.160476070027794,27.160476070027794,34.79999136000001,0,5.480395439999993,0.607
9.580895439999983,27.499939587963404,27.499939587963404,34.79999136000001,0,5.530395439999992,0.607
9.680895439999983,27.839403105899006,27.839403105899006,34.79999136,0,5.5803954399999895,0.607
9.780895439999982,28.178866623834608,28.178866623834608,34.79999136000001,0,5.630395439999989,0.607
9.880895439999982,28.518330141770218,28.518330141770218,34.79999136,0,5.680395439999991,0.607
9.980895439999982,28.85779365970582,28.85779365970582,34.79999136000001,0,5.73039543999999,0.607
10.080895439999981,29.19725717764143,29.19725717764143,34.79999136000001,0,5.780395439999991,0.607
10.180895439999981,29.53672069557703,29.53672069557703,34.79999136000001,0,5.830395439999991,0.607
10.28089543999998,29.876184213512634,29.876184213512634,34.79999136,0,5.880395439999989,0.607
10.38089543999998,30.215647731448243,30.215647731448243,34.79999136,0,5.930395439999988,0.607
10.48089543999998,30.555111249383845,30.555111249383845,34.79999136000001,0,5.980395439999992,0.607
10.58089543999998,30.89457476731945,30.89457476731945,34.79999136000001,0,6.030395439999989,0.607
10.68089543999998,31.234038285255057,31.234038285255057,34.79999136,0,6.080395439999989,0.607
10.780895439999979,31.57350180319066,31.57350180319066,34.79999136,0,6.13039543999999,0.607
10.880895439999978,31.912965321126265,31.912965321126265,34.79999136,0,6.180395439999988,0.607
10.980895439999978,32.25242883906188,32.25242883906188,34.79999135999999,0,6.230395439999988,0.607
11.080895439999978,32.59189235699748,32.59189235699748,34.79999136000001,0,6.28039543999999,0.607
11.180895439999977,32.93135587493308,32.93135587493308,34.79999136,0,6.330395439999988,0.607
11.280895439999977,33.27081939286869,33.27081939286869,34.79999136000001,0,6.380395439999987,0.607
11.380895439999977,33.610282910804294,33.610282910804294,34.79999135999999,0,6.430395439999987,0.607
11.480895439999976,33.94974642873989,33.94974642873989,34.79999136000001,0,6.48039543999999,0.607
11.580895439999976,34.2892099466755,34.2892099466755,34.79999136000001,0,6.530395439999988,0.607
11.680895439999976,34.628673464611104,34.628673464611104,34.79999136,0,6.580395439999987,0.607
11.780895439999975,34.96813698254671,34.96813698254671,34.79999136000001,0,6.630395439999987,0.607
11.880895439999975,35.307600500482316,35.307600500482316,34.79999136000001,0,6.6803954399999865,0.607
11.980895439999975,35.64706401841792,35.64706401841792,34.79999136,0,6.730395439999987,0.607
12.080895439999974,35.98652753635353,35.98652753635353,34.79999136000001,0,6.780395439999986,0.607
12.180895439999974,36.325991054289126,36.325991054289126,34.79999136000001,0,6.830395439999988,0.607
12.280895439999973,36.66545457222473,36.66545457222473,34.79999136000001,0,6.880395439999986,0.607
12.380895439999973,37.004918090160345,37.004918090160345,34.79999136,0,6.930395439999986,0.607
12.480895439999973,37.344381608095944,37.344381608095944,34.79999136000001,0,6.980395439999987,0.607
12.580895439999972,37.68384512603155,37.68384512603155,34.79999136000001,0,7.030395439999985,0.607
12.680895439999972,38.023308643967155,38.023308643967155,34.79999136,0,7.080395439999985,0.607
12.780895439999972,38.36277216190276,38.36277216190276,34.79999136,0,7.130395439999985,0.607
12.880895439999971,38.70223567983836,38.70223567983836,34.79999136000001,0,7.180395439999986,0.607
12.980895439999971,39.04169919777397,39.04169919777397,34.79999136000001,0,7.230395439999986,0.607
13.08089543999997,39.38116271570957,39.38116271570957,34.79999136,0,7.2803954399999835,0.607
13.18089543999997,39.72062623364518,39.72062623364518,34.79999136,0,7.330395439999984,0.607
13.28089543999997,40.06008975158078,40.06008975158078,34.79999136,0,7.380395439999984,0.607
13.38089543999997,40.39955326951639,40.39955326951639,34.79999136,0,7.430395439999986,0.607
13.48089543999997,40.739016787451995,40.739016787451995,34.79999136,0,7.480395439999984,0.607
13.580895439999969,41.07848030538761,41.07848030538761,34.79999136,0,7.530395439999985,0.607
13.680895439999968,41.417943823323206,41.417943823323206,34.79999136,0,7.580395439999984,0.607
13.780895439999968,41.757407341258805,41.757407341258805,34.79999136000001,0,7.630395439999985,0.607
13.880895439999968,42.09687085919441,42.09687085919441,34.79999136,0,7.6803954399999865,0.607
13.980895439999967,42.43633437713002,42.43633437713002,34.79999136,0,7.730395439999984,0.607
14.080895439999967,42.77579789506563,42.77579789506563,34.79999136,0,7.780395439999984,0.607
14.180895439999967,43.115261413001235,43.115261413001235,34.79999136,0,7.830395439999983,0.607
14.280895439999966,43.45472493093684,43.45472493093684,34.79999136000001,0,7.880395439999983,0.607
14.380895439999966,43.79418844887244,43.79418844887244,34.79999136,0,7.930395439999986,0.607
14.4120108,43.89981374454688,43.89981374454688,34.79999136,0,7.94595312,0
