0.96
0.985
draft,vol,Mass,lcg,tcg,vcg,FSM
0.001,0,0,0,-0,0,0.0013700000000000001
0.101,0.1157896262815581,0.11115804123029578,23.636347154135365,-1.9945190206557197,0.06733333333333334,0.14133333333333334
0.201,0.45858412816402594,0.4402407630374649,23.63634715413536,-2.2524515163544523,0.13399999999999998,1.1199800000000002
0.30100000000000005,1.0283878718264161,0.9872523569533594,23.63633925086764,-2.510370586413231,0.2006659874508427,3.6955700000000005
0.401,1.7518599184126817,1.6817855216761743,23.58761773401438,-2.6834912945931566,0.2631454715047568,4.05844
0.501,2.5584697280638165,2.4561309389412638,23.504183553532382,-2.790628816399262,0.32264117425490607,4.993650000000001
0.601,3.40781401016047,3.271501449754051,23.43796753429097,-2.8632734512757496,0.37956560546721957,5.05866
0.701,4.261071647397526,4.090628781501625,23.396964607574507,-2.9082958601965725,0.4339265973970834,5.12467
0.8009999999999999,5.118242639774988,4.913512934183989,23.368659068534225,-2.939421525622047,0.48703442240446243,5.19168
0.9009999999999999,5.979326987292851,5.740153907801137,23.347645762313473,-2.962577958927398,0.5394546486041277,5.2598
1.001,6.8445684435825465,6.570785705839245,23.331260733371217,-2.980798298609108,0.5914846970626325,5.3395600000000005
1.101,7.713743516686308,7.405193776018855,23.31803874580335,-2.9956810949419297,0.643265544931102,5.395499999999999
1.201,8.585692826436132,8.242265113378686,23.30696296928836,-3.008024374407857,0.6948328879080456,5.4455
1.3010000000000002,9.460361221224716,9.081946772375726,23.297441439482398,-3.0185157087706713,0.7462563423442478,5.49517
1.4010000000000002,10.337099827884328,9.923615834768954,23.28919318597582,-3.0275277548460795,0.7975480274851472,5.512
1.5010000000000003,11.213968371419655,10.765409636562868,23.282215196992563,-3.035147750361552,0.848644255014176,5.51199
1.6010000000000004,12.09083365662499,11.60720031035999,23.276249794646247,-3.04166209267313,0.899581294812994,5.511
1.7010000000000005,12.9676852350931,12.448977825689376,23.271092909980084,-3.0472938935465836,0.9503908720042894,5.511
1.7548860000000002,13.440184264475336,12.902576893896322,23.268593208176153,-3.0500238340969497,0.9777262580780607,0
