-3	34.81
-2	34.96
-1	46.66
0	46.82
1	46.98
2	35.6
3	38.5
4	38.68
5	38.86
6	55.17
7	55.84
8	84.41
9	75.09
10	75.71
11	76.33
12	76.96
13	87.76
14	88.81
15	89.85
16	90.9
17	91.94
18	80.85
19	94.6
20	95.22
21	95.83
22	128.8
23	125.57
24	125.51
25	125.45
26	125.39
27	125.33
28	125.27
29	97.41
30	98
31	98.59
32	38.39
33	39.38
34	34.5
35	34.5
36	92.7
37	93.03
38	34.82
39	34.82
40	34.81
41	34.81
42	34.81
43	34.8
44	34.8
45	34.79
46	34.79
47	101.59
48	34.78
49	34.78
50	34.78
51	34.77
52	34.77
53	34.76
54	34.76
55	34.76
56	34.75
57	34.75
58	34.75
59	34.74
60	34.74
61	34.73
62	34.73
63	36.56
64	36.55
65	36.55
66	36.55
67	36.54
68	117.54
69	117.53
70	36.53
71	36.53
72	36.52
73	36.52
74	36.52
75	36.51
76	36.51
77	36.98
78	36.98
79	117.98
80	36.98
81	36.97
82	36.97
83	36.97
84	41.98
85	41.55
86	41.13
87	40.7
88	36.96
89	36.95
90	36.16
91	36.15
92	36.14
93	36.13
94	36.12
95	36.11
96	119.6
97	38.59
98	38.57
99	38.56
100	38.55
101	36.04
102	36.03
103	36.02
104	36.01
105	36
106	35.99
107	35.98
108	35.97
109	35.96
110	35.95
111	35.94
112	35.93
113	35.92
114	35.91
115	102.7
116	35.89
117	35.88
118	35.87
119	35.86
120	35.85
121	35.84
122	35.83
123	37.58
124	37.41
125	37.24
126	37.07
127	36.9
128	97.53
129	97.36
130	36.13
131	35.96
132	35.79
133	35.62
134	33.46
135	33.3
136	33.14
137	32.98
138	32.82
139	32.65
140	32.49
141	32.33
142	32.17
143	36.57
144	36.35
145	36.13
146	35.92
147	35.7
148	35.48
149	35.26
150	46.4
151	44.99
152	47.75
153	46.34
154	44.93
155	39.35
156	37.95
157	36.54
158	35.13
159	33.72
160	32.31
161	30.9
162	29.5
163	28.09
