0.23
0.1	68.96	31985.5	272.53
0.2	68.97	32054.26	551.76
0.3	68.98	32147.48	836.33
0.4	68.98	32241.84	1125.9
0.5	68.98	32337.71	1420.31
0.6	68.98	32435.03	1719.1
0.7	68.98	32533.24	2021.82
0.8	68.98	32632.15	2328.17
0.9	68.98	32731.7	2637.85
1.0	68.98	32831.86	2950.54
1.1	68.98	32932.55	3265.96
1.2	68.98	33032.81	3584.05
1.3	68.98	33132.75	3904.65
1.4	68.98	33233.25	4227.4
1.5	68.98	33334.33	4552.11
1.6	68.98	33435.99	4878.61
1.7	68.98	33542.38	5206.76
1.8	69.0	33653.6	5536.49
1.9	69.04	33723.64	5867.74
2.0	69.08	33786.71	6200.36
2.1	69.13	33844.79	6534.21
2.2	69.18	33903.34	6869.22
2.3	69.24	33962.04	7205.41
2.4	69.29	34020.83	7542.73
2.5	69.34	34079.6	7881.11
2.6	69.39	34140.01	8220.45
2.7	69.44	34201.32	8560.73
2.8	69.49	34263.26	8901.92
2.9	69.54	34325.77	9243.99
3.0	69.59	34388.88	9586.89
3.1	69.64	34452.52	9930.6
3.2	69.69	34516.65	10275.09
3.3	69.74	34581.08	10620.36
3.4	69.79	34645.77	10966.39
3.5	69.84	34710.71	11313.14
3.6	69.88	34775.78	11660.58
3.7	69.93	34840.94	12008.7
3.8	69.98	34906.1	12357.49
3.9	70.02	34971.09	12706.98
4.0	70.07	35035.89	13057.15
4.1	70.12	35100.49	13407.97
4.2	70.16	35164.87	13759.41
4.3	70.21	35229.02	14111.52
4.4	70.25	35292.94	14464.3
4.5	70.3	35356.61	14817.76
4.6	70.35	35420.08	15171.95
4.7	70.39	35483.44	15526.85
4.8	70.44	35546.69	15882.44
4.9	70.48	35609.84	16238.68
5.0	70.53	35672.9	16595.61
5.1	70.57	35735.98	16953.23
5.2	70.62	35799.1	17311.53
5.3	70.66	35862.27	17670.51
5.4	70.7	35925.46	18030.21
5.5	70.75	35988.68	18390.68
5.6	70.79	36051.91	18751.88
5.7	70.84	36115.22	19113.76
5.8	70.88	36178.52	19476.35
5.9	70.92	36241.83	19839.85
6.0	70.97	36305.46	20204.29
6.1	71.01	36369.97	20569.57
6.2	71.05	36435.19	20935.69
6.3	71.09	36500.72	21302.65
6.4	71.12	36566.44	21670.49
6.5	71.16	36632.48	22039.3
6.6	71.2	36698.79	22408.96
6.7	71.24	36765.27	22779.52
6.8	71.28	36832.13	23151.14
6.9	71.31	36899.3	23523.78
7.0	71.35	36966.75	23897.34
7.1	71.38	37034.51	24271.76
7.2	71.42	37102.59	24647.12
7.3	71.45	37170.9	25023.68
7.4	71.49	37239.48	25401.31
7.5	71.52	37308.29	25779.85
7.6	71.55	37377.35	26159.23
7.7	71.59	37446.68	26539.58
7.8	71.62	37516.22	26920.95
7.9	71.65	37585.97	27303.39
8.0	71.68	37655.8	27686.78
8.1	71.71	37725.75	28071.13
8.2	71.74	37795.82	28456.4
8.3	71.77	37865.99	28842.57
8.4	71.8	37936.22	29229.66
8.5	71.83	38006.62	29617.54
8.6	71.86	38077.04	30006.21
8.7	71.89	38147.55	30395.88
8.8	71.92	38218.11	30786.47
8.9	71.95	38288.7	31177.99
9.0	71.98	38359.32	31570.5
9.1	72.01	38429.97	31963.84
9.2	72.04	38500.67	32357.35
9.3	72.07	38570.58	32750.85
9.4	72.1	38639.14	33144.36
9.5	72.13	38708.06	33537.87
9.6	72.16	38776.76	33931.38
9.7	72.19	38844.54	34324.89
9.8	72.22	38912.48	34718.4
9.9	72.25	38980.55	35111.91
10.0	72.29	39048.74	35505.42
10.1	72.32	39116.84	35898.93
10.2	72.35	39184.76	36292.43
10.3	72.37	39254.13	36685.94
10.4	72.4	39324.49	37079.45
10.5	72.43	39395.04	37472.96
10.6	72.45	39465.73	37866.47
10.7	72.48	39536.67	38259.98
10.8	72.5	39607.69	38653.49
10.9	72.53	39678.92	39047.0
11.0	72.55	39750.37	39440.51
11.1	72.57	39821.9	39834.01
11.2	72.6	39892.99	40227.52
11.3	72.62	39963.39	40621.03
11.4	72.65	40034.41	41014.54
11.5	72.67	40105.93	41408.05
11.6	72.69	40177.86	41801.56
11.7	72.72	40250.06	42195.07
11.8	72.74	40322.47	42588.58
11.9	72.76	40395.13	42982.09
12.0	72.78	40467.91	43375.59
12.1	72.8	40540.72	43769.1
12.2	72.82	40613.4	44162.61
12.3	72.84	40685.91	44556.12
12.4	72.86	40758.28	44949.63
12.5	72.88	40830.43	45343.14
12.6	72.9	40902.38	45736.65
12.7	72.92	40968.61	46130.16
12.8	72.95	41030.36	46523.67
12.9	72.98	41091.61	46917.17
13.0	73.01	41152.52	47310.68
13.1	73.04	41213.12	47704.19
13.2	73.07	41273.43	48097.7
13.3	73.1	41333.43	48491.21
13.4	73.13	41393.12	48884.72
13.5	73.16	41450.7	49278.23
13.6	73.19	41505.43	49671.74
13.7	73.22	41559.83	50065.25
13.8	73.25	41613.95	50458.75
